Run,Center,ReleaseDate,FileType,FileName,FileSize,Download_path,Experiment,Title,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,BioProject,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,Organization
CRR279125,NGDC,2021-06-18,10x genomics,CRR279125.tar,28225566720,ftp://download.big.ac.cn/gsa/CRA004082/CRR279125/CRR279125.tar,CRX235972,Seedling-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350952,Plant sample,4530,Oryza sativa,Seedling-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279126,NGDC,2021-06-18,10x genomics,CRR279126.tar,23175823360,ftp://download.big.ac.cn/gsa/CRA004082/CRR279126/CRR279126.tar,CRX235972,Seedling-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350952,Plant sample,4530,Oryza sativa,Seedling-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279135,NGDC,2021-06-18,10x genomics,CRR279135.tar,16893716480,ftp://download.big.ac.cn/gsa/CRA004082/CRR279135/CRR279135.tar,CRX235974,HS-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350954,Plant sample,4530,Oryza sativa,HS-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279136,NGDC,2021-06-18,10x genomics,CRR279136.tar,16396963840,ftp://download.big.ac.cn/gsa/CRA004082/CRR279136/CRR279136.tar,CRX235974,HS-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350954,Plant sample,4530,Oryza sativa,HS-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279137,NGDC,2021-06-18,10x genomics,CRR279137.tar,15170856960,ftp://download.big.ac.cn/gsa/CRA004082/CRR279137/CRR279137.tar,CRX235974,HS-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350954,Plant sample,4530,Oryza sativa,HS-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279138,NGDC,2021-06-18,10x genomics,CRR279138.tar,19686440960,ftp://download.big.ac.cn/gsa/CRA004082/CRR279138/CRR279138.tar,CRX235974,HS-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350954,Plant sample,4530,Oryza sativa,HS-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279095,NGDC,2021-06-18,10x genomics,CRR279095.tar,22205583360,ftp://download.big.ac.cn/gsa/CRA004082/CRR279095/CRR279095.tar,CRX235966,Root-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350946,Plant sample,4530,Oryza sativa,Root-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279096,NGDC,2021-06-18,10x genomics,CRR279096.tar,25918412800,ftp://download.big.ac.cn/gsa/CRA004082/CRR279096/CRR279096.tar,CRX235966,Root-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350946,Plant sample,4530,Oryza sativa,Root-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279097,NGDC,2021-06-18,10x genomics,CRR279097.tar,29162270720,ftp://download.big.ac.cn/gsa/CRA004082/CRR279097/CRR279097.tar,CRX235966,Root-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350946,Plant sample,4530,Oryza sativa,Root-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279098,NGDC,2021-06-18,10x genomics,CRR279098.tar,9782077440,ftp://download.big.ac.cn/gsa/CRA004082/CRR279098/CRR279098.tar,CRX235966,Root-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350946,Plant sample,4530,Oryza sativa,Root-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279099,NGDC,2021-06-18,10x genomics,CRR279099.tar,13110466560,ftp://download.big.ac.cn/gsa/CRA004082/CRR279099/CRR279099.tar,CRX235967,Root-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350947,Plant sample,4530,Oryza sativa,Root-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279100,NGDC,2021-06-18,10x genomics,CRR279100.tar,16355932160,ftp://download.big.ac.cn/gsa/CRA004082/CRR279100/CRR279100.tar,CRX235967,Root-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350947,Plant sample,4530,Oryza sativa,Root-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279101,NGDC,2021-06-18,10x genomics,CRR279101.tar,14774876160,ftp://download.big.ac.cn/gsa/CRA004082/CRR279101/CRR279101.tar,CRX235967,Root-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350947,Plant sample,4530,Oryza sativa,Root-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279102,NGDC,2021-06-18,10x genomics,CRR279102.tar,14039582720,ftp://download.big.ac.cn/gsa/CRA004082/CRR279102/CRR279102.tar,CRX235967,Root-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350947,Plant sample,4530,Oryza sativa,Root-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279115,NGDC,2021-06-18,10x genomics,CRR279115.tar,20740536320,ftp://download.big.ac.cn/gsa/CRA004082/CRR279115/CRR279115.tar,CRX235971,ID-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350951,Plant sample,4530,Oryza sativa,ID-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279116,NGDC,2021-06-18,10x genomics,CRR279116.tar,20193873920,ftp://download.big.ac.cn/gsa/CRA004082/CRR279116/CRR279116.tar,CRX235971,ID-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350951,Plant sample,4530,Oryza sativa,ID-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279117,NGDC,2021-06-18,10x genomics,CRR279117.tar,18700902400,ftp://download.big.ac.cn/gsa/CRA004082/CRR279117/CRR279117.tar,CRX235971,ID-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350951,Plant sample,4530,Oryza sativa,ID-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279118,NGDC,2021-06-18,10x genomics,CRR279118.tar,23981905920,ftp://download.big.ac.cn/gsa/CRA004082/CRR279118/CRR279118.tar,CRX235971,ID-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350951,Plant sample,4530,Oryza sativa,ID-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279119,NGDC,2021-06-18,10x genomics,CRR279119.tar,2465280000,ftp://download.big.ac.cn/gsa/CRA004082/CRR279119/CRR279119.tar,CRX235971,ID-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350951,Plant sample,4530,Oryza sativa,ID-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279120,NGDC,2021-06-18,10x genomics,CRR279120.tar,2364733440,ftp://download.big.ac.cn/gsa/CRA004082/CRR279120/CRR279120.tar,CRX235971,ID-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350951,Plant sample,4530,Oryza sativa,ID-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279121,NGDC,2021-06-18,10x genomics,CRR279121.tar,2200186880,ftp://download.big.ac.cn/gsa/CRA004082/CRR279121/CRR279121.tar,CRX235971,ID-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350951,Plant sample,4530,Oryza sativa,ID-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
