Run,Center,ReleaseDate,FileType,FileName,FileSize,Download_path,Experiment,Title,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,BioProject,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,Organization
CRR279149,NGDC,2021-06-18,10x genomics,CRR279149.tar,45978644480,ftp://download.big.ac.cn/gsa/CRA004082/CRR279149/CRR279149.tar,CRX235977,LN-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350957,Plant sample,4530,Oryza sativa,LN-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279150,NGDC,2021-06-18,10x genomics,CRR279150.tar,44736665600,ftp://download.big.ac.cn/gsa/CRA004082/CRR279150/CRR279150.tar,CRX235977,LN-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350957,Plant sample,4530,Oryza sativa,LN-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279178,NGDC,2021-06-18,fastq,CRR279178_f1.fastq.gz|CRR279178_r2.fastq.gz,2417529032|2686112088,ftp://download.big.ac.cn/gsa/CRA004082/CRR279178/CRR279178_f1.fastq.gz|ftp://download.big.ac.cn/gsa/CRA004082/CRR279178/CRR279178_r2.fastq.gz,CRX235987,Post-protoplasting replicate 2,,RNASeq,PolyA,TRANSCRIPTOMIC,Paired,,,ILLUMINA,PRJCA004855,SAMC350967,Plant sample,1427524,mixed sample,Post-protoplasting replicate 2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279091,NGDC,2021-06-18,10x genomics,CRR279091.tar,26326476800,ftp://download.big.ac.cn/gsa/CRA004082/CRR279091/CRR279091.tar,CRX235965,Leaf-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350945,Plant sample,4530,Oryza sativa,Leaf-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279092,NGDC,2021-06-18,10x genomics,CRR279092.tar,33466122240,ftp://download.big.ac.cn/gsa/CRA004082/CRR279092/CRR279092.tar,CRX235965,Leaf-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350945,Plant sample,4530,Oryza sativa,Leaf-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279093,NGDC,2021-06-18,10x genomics,CRR279093.tar,25067100160,ftp://download.big.ac.cn/gsa/CRA004082/CRR279093/CRR279093.tar,CRX235965,Leaf-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350945,Plant sample,4530,Oryza sativa,Leaf-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279094,NGDC,2021-06-18,10x genomics,CRR279094.tar,33078118400,ftp://download.big.ac.cn/gsa/CRA004082/CRR279094/CRR279094.tar,CRX235965,Leaf-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350945,Plant sample,4530,Oryza sativa,Leaf-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279159,NGDC,2021-06-18,10x genomics,CRR279159.tar,81094400000,ftp://download.big.ac.cn/gsa/CRA004082/CRR279159/CRR279159.tar,CRX235980,Seedling-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350960,Plant sample,4530,Oryza sativa,Seedling-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279160,NGDC,2021-06-18,10x genomics,CRR279160.tar,74629447680,ftp://download.big.ac.cn/gsa/CRA004082/CRR279160/CRR279160.tar,CRX235980,Seedling-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350960,Plant sample,4530,Oryza sativa,Seedling-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279161,NGDC,2021-06-18,10x genomics,CRR279161.tar,83650150400,ftp://download.big.ac.cn/gsa/CRA004082/CRR279161/CRR279161.tar,CRX235980,Seedling-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350960,Plant sample,4530,Oryza sativa,Seedling-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279162,NGDC,2021-06-18,10x genomics,CRR279162.tar,90121093120,ftp://download.big.ac.cn/gsa/CRA004082/CRR279162/CRR279162.tar,CRX235980,Seedling-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350960,Plant sample,4530,Oryza sativa,Seedling-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279180,NGDC,2021-06-18,fastq,CRR279180_f1.fastq.gz|CRR279180_r2.fastq.gz,1675687356|1468046795,ftp://download.big.ac.cn/gsa/CRA004082/CRR279180/CRR279180_f1.fastq.gz|ftp://download.big.ac.cn/gsa/CRA004082/CRR279180/CRR279180_r2.fastq.gz,CRX235989,Mesophyll cell bulk RNA-seq (HS),,RNASeq,PolyA,TRANSCRIPTOMIC,Paired,,,ILLUMINA,PRJCA004855,SAMC350969,Plant sample,4530,Oryza sativa,Mesophyll cell bulk RNA-seq (HS),CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279079,NGDC,2021-06-18,10x genomics,CRR279079.tar,18145556480,ftp://download.big.ac.cn/gsa/CRA004082/CRR279079/CRR279079.tar,CRX235962,Quality control replicate 1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350942,Plant sample,1427524,mixed sample,Quality control replicate 1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279080,NGDC,2021-06-18,10x genomics,CRR279080.tar,16720629760,ftp://download.big.ac.cn/gsa/CRA004082/CRR279080/CRR279080.tar,CRX235962,Quality control replicate 1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350942,Plant sample,1427524,mixed sample,Quality control replicate 1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279081,NGDC,2021-06-18,10x genomics,CRR279081.tar,18946396160,ftp://download.big.ac.cn/gsa/CRA004082/CRR279081/CRR279081.tar,CRX235962,Quality control replicate 1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350942,Plant sample,1427524,mixed sample,Quality control replicate 1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279082,NGDC,2021-06-18,10x genomics,CRR279082.tar,18233221120,ftp://download.big.ac.cn/gsa/CRA004082/CRR279082/CRR279082.tar,CRX235962,Quality control replicate 1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350942,Plant sample,1427524,mixed sample,Quality control replicate 1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279151,NGDC,2021-06-18,10x genomics,CRR279151.tar,46851522560,ftp://download.big.ac.cn/gsa/CRA004082/CRR279151/CRR279151.tar,CRX235978,HS-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350958,Plant sample,4530,Oryza sativa,HS-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279152,NGDC,2021-06-18,10x genomics,CRR279152.tar,31367065600,ftp://download.big.ac.cn/gsa/CRA004082/CRR279152/CRR279152.tar,CRX235978,HS-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350958,Plant sample,4530,Oryza sativa,HS-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279153,NGDC,2021-06-18,10x genomics,CRR279153.tar,35322593280,ftp://download.big.ac.cn/gsa/CRA004082/CRR279153/CRR279153.tar,CRX235978,HS-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350958,Plant sample,4530,Oryza sativa,HS-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279154,NGDC,2021-06-18,10x genomics,CRR279154.tar,34374410240,ftp://download.big.ac.cn/gsa/CRA004082/CRR279154/CRR279154.tar,CRX235978,HS-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350958,Plant sample,4530,Oryza sativa,HS-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279143,NGDC,2021-06-18,10x genomics,CRR279143.tar,36355819520,ftp://download.big.ac.cn/gsa/CRA004082/CRR279143/CRR279143.tar,CRX235976,Seedling-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350956,Plant sample,4530,Oryza sativa,Seedling-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279144,NGDC,2021-06-18,10x genomics,CRR279144.tar,37210306560,ftp://download.big.ac.cn/gsa/CRA004082/CRR279144/CRR279144.tar,CRX235976,Seedling-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350956,Plant sample,4530,Oryza sativa,Seedling-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279145,NGDC,2021-06-18,10x genomics,CRR279145.tar,30973122560,ftp://download.big.ac.cn/gsa/CRA004082/CRR279145/CRR279145.tar,CRX235976,Seedling-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350956,Plant sample,4530,Oryza sativa,Seedling-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279146,NGDC,2021-06-18,10x genomics,CRR279146.tar,36100782080,ftp://download.big.ac.cn/gsa/CRA004082/CRR279146/CRR279146.tar,CRX235976,Seedling-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350956,Plant sample,4530,Oryza sativa,Seedling-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279107,NGDC,2021-06-18,10x genomics,CRR279107.tar,24133079040,ftp://download.big.ac.cn/gsa/CRA004082/CRR279107/CRR279107.tar,CRX235969,LN-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350949,Plant sample,4530,Oryza sativa,LN-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279108,NGDC,2021-06-18,10x genomics,CRR279108.tar,21322874880,ftp://download.big.ac.cn/gsa/CRA004082/CRR279108/CRR279108.tar,CRX235969,LN-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350949,Plant sample,4530,Oryza sativa,LN-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279109,NGDC,2021-06-18,10x genomics,CRR279109.tar,26848911360,ftp://download.big.ac.cn/gsa/CRA004082/CRR279109/CRR279109.tar,CRX235969,LN-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350949,Plant sample,4530,Oryza sativa,LN-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279110,NGDC,2021-06-18,10x genomics,CRR279110.tar,26082856960,ftp://download.big.ac.cn/gsa/CRA004082/CRR279110/CRR279110.tar,CRX235969,LN-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350949,Plant sample,4530,Oryza sativa,LN-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279163,NGDC,2021-06-18,10x genomics,CRR279163.tar,87328112640,ftp://download.big.ac.cn/gsa/CRA004082/CRR279163/CRR279163.tar,CRX235981,LN-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350961,Plant sample,4530,Oryza sativa,LN-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279164,NGDC,2021-06-18,10x genomics,CRR279164.tar,86161141760,ftp://download.big.ac.cn/gsa/CRA004082/CRR279164/CRR279164.tar,CRX235981,LN-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350961,Plant sample,4530,Oryza sativa,LN-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279165,NGDC,2021-06-18,10x genomics,CRR279165.tar,75837388800,ftp://download.big.ac.cn/gsa/CRA004082/CRR279165/CRR279165.tar,CRX235981,LN-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350961,Plant sample,4530,Oryza sativa,LN-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279166,NGDC,2021-06-18,10x genomics,CRR279166.tar,74936719360,ftp://download.big.ac.cn/gsa/CRA004082/CRR279166/CRR279166.tar,CRX235981,LN-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350961,Plant sample,4530,Oryza sativa,LN-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279127,NGDC,2021-06-18,10x genomics,CRR279127.tar,34091171840,ftp://download.big.ac.cn/gsa/CRA004082/CRR279127/CRR279127.tar,CRX235973,LN-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350953,Plant sample,4530,Oryza sativa,LN-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279128,NGDC,2021-06-18,10x genomics,CRR279128.tar,47781724160,ftp://download.big.ac.cn/gsa/CRA004082/CRR279128/CRR279128.tar,CRX235973,LN-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350953,Plant sample,4530,Oryza sativa,LN-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279129,NGDC,2021-06-18,10x genomics,CRR279129.tar,37726105600,ftp://download.big.ac.cn/gsa/CRA004082/CRR279129/CRR279129.tar,CRX235973,LN-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350953,Plant sample,4530,Oryza sativa,LN-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279130,NGDC,2021-06-18,10x genomics,CRR279130.tar,40216084480,ftp://download.big.ac.cn/gsa/CRA004082/CRR279130/CRR279130.tar,CRX235973,LN-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350953,Plant sample,4530,Oryza sativa,LN-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279131,NGDC,2021-06-18,10x genomics,CRR279131.tar,720035840,ftp://download.big.ac.cn/gsa/CRA004082/CRR279131/CRR279131.tar,CRX235973,LN-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350953,Plant sample,4530,Oryza sativa,LN-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279132,NGDC,2021-06-18,10x genomics,CRR279132.tar,1016279040,ftp://download.big.ac.cn/gsa/CRA004082/CRR279132/CRR279132.tar,CRX235973,LN-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350953,Plant sample,4530,Oryza sativa,LN-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279133,NGDC,2021-06-18,10x genomics,CRR279133.tar,800348160,ftp://download.big.ac.cn/gsa/CRA004082/CRR279133/CRR279133.tar,CRX235973,LN-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350953,Plant sample,4530,Oryza sativa,LN-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279134,NGDC,2021-06-18,10x genomics,CRR279134.tar,851578880,ftp://download.big.ac.cn/gsa/CRA004082/CRR279134/CRR279134.tar,CRX235973,LN-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350953,Plant sample,4530,Oryza sativa,LN-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279179,NGDC,2021-06-18,fastq,CRR279179_f1.fastq.gz|CRR279179_r2.fastq.gz,1952063912|2016593574,ftp://download.big.ac.cn/gsa/CRA004082/CRR279179/CRR279179_f1.fastq.gz|ftp://download.big.ac.cn/gsa/CRA004082/CRR279179/CRR279179_r2.fastq.gz,CRX235988,Mesophyll cell bulk RNA-seq (Ctrl),,RNASeq,PolyA,TRANSCRIPTOMIC,Paired,,,ILLUMINA,PRJCA004855,SAMC350968,Plant sample,4530,Oryza sativa,Mesophyll cell bulk RNA-seq (Ctrl),CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279111,NGDC,2021-06-18,10x genomics,CRR279111.tar,28270704640,ftp://download.big.ac.cn/gsa/CRA004082/CRR279111/CRR279111.tar,CRX235970,HS-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350950,Plant sample,4530,Oryza sativa,HS-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279112,NGDC,2021-06-18,10x genomics,CRR279112.tar,26995619840,ftp://download.big.ac.cn/gsa/CRA004082/CRR279112/CRR279112.tar,CRX235970,HS-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350950,Plant sample,4530,Oryza sativa,HS-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279113,NGDC,2021-06-18,10x genomics,CRR279113.tar,31785707520,ftp://download.big.ac.cn/gsa/CRA004082/CRR279113/CRR279113.tar,CRX235970,HS-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350950,Plant sample,4530,Oryza sativa,HS-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279114,NGDC,2021-06-18,10x genomics,CRR279114.tar,29229905920,ftp://download.big.ac.cn/gsa/CRA004082/CRR279114/CRR279114.tar,CRX235970,HS-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350950,Plant sample,4530,Oryza sativa,HS-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279167,NGDC,2021-06-18,10x genomics,CRR279167.tar,61400576000,ftp://download.big.ac.cn/gsa/CRA004082/CRR279167/CRR279167.tar,CRX235982,HS-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350962,Plant sample,4530,Oryza sativa,HS-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279168,NGDC,2021-06-18,10x genomics,CRR279168.tar,55022489600,ftp://download.big.ac.cn/gsa/CRA004082/CRR279168/CRR279168.tar,CRX235982,HS-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350962,Plant sample,4530,Oryza sativa,HS-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279169,NGDC,2021-06-18,10x genomics,CRR279169.tar,57830318080,ftp://download.big.ac.cn/gsa/CRA004082/CRR279169/CRR279169.tar,CRX235982,HS-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350962,Plant sample,4530,Oryza sativa,HS-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
